Name,City,Price_Range
Arles,Amsterdam,2
Bistrot des Alpes,Amsterdam,2
Benny’s Chicken,Amsterdam,1
Cuddle,Amsterdam,1
Broer,Amsterdam,2
Chez Lorraine,Amsterdam,2
Cafe Chantilly,Amsterdam,1
Carnivore Bar-Smoke BBQ,Amsterdam,2
De Biertuin Prinsengracht,Amsterdam,2
Barasti,Amsterdam,2
Corner Bakery Amsterdam West,Amsterdam,2
"Bodon, La Grande Brasserie",Amsterdam,4
Benji's,Amsterdam,2
Berry,Amsterdam,1
Da Magda,Amsterdam,1
Anne Maike of Casa Curiosa,Amsterdam,2
Bar Joost,Amsterdam,1
I Kriti,Amsterdam,2
Golden Chopsticks,Amsterdam,2
De Kleine Kaart,Amsterdam,2
BROODJESZAAK t KUYLTJE,Amsterdam,1
Cafe Riviera,Amsterdam,2
Croissanterie Friends,Amsterdam,1
De Witte Zwaan,Amsterdam,2
Arepa Shop,Amsterdam,1
Anna's SpecialTeas,Amsterdam,1
Clone 42,Amsterdam,2
Cafe Sage,Amsterdam,2
Alex + Pinard,Amsterdam,2
Cafe Dinard,Amsterdam,2
Cheesy Cakes,Amsterdam,2
Bahya Food to Share,Amsterdam,2
Bistro Bentinck,Amsterdam,2
De Chef's Table Anice Culinair,Amsterdam,4
Broodje Daan,Amsterdam,1
Bar Evert-Jan,Amsterdam,2
Amona Food Truck,Amsterdam,1
Bouillon Brothers,Amsterdam,1
Bar Benjamin,Amsterdam,2
Chef India Amsterdam,Amsterdam,2
Caulils Delicatessen,Amsterdam,2
Baking Lab Amsterdam,Amsterdam,1
't Halve Werk,Amsterdam,1
Cafe ONS,Amsterdam,2
Namaste India,Amsterdam,2
De Beren,Amsterdam,2
De Smaaksalon,Amsterdam,1
Cafe Primo,Amsterdam,2
Casa Food,Amsterdam,1
Broodje van het land,Amsterdam,2
Bakker Bertram,Amsterdam,1
Cannibale Royale du Nord,Amsterdam,2
De Vrouw met de Baard,Amsterdam,2
Cafe 't Ceintuurtje,Amsterdam,2
Cinque Wine & Deli Bar,Athens,1
Dinner in the Sky,Athens,4
Aleria,Athens,4
Feyrouz,Athens,1
Funky Gourmet,Athens,4
A Little Taste of Home,Athens,2
CTC,Athens,4
Hi-Fai Grill House,Athens,1
Bread and Roses,Athens,1
Duck Soup,Athens,1
Enjoy Just Falafel,Athens,1
En Athinais Alexandra,Athens,1
Brigante La Cucina del Quartiere,Athens,1
