Name,City,Cuisine_Style,Rating,Price_Range
Arles,Amsterdam,French,5.0,2
Bistrot des Alpes,Amsterdam,French,5.0,2
Benny’s Chicken,Amsterdam,Dutch,5.0,1
Cuddle,Amsterdam,Bar,5.0,1
Broer,Amsterdam,Dutch,5.0,2
Chez Lorraine,Amsterdam,French,5.0,2
Cafe Chantilly,Amsterdam,Cafe,5.0,1
Carnivore Bar-Smoke BBQ,Amsterdam,American,5.0,2
De Biertuin Prinsengracht,Amsterdam,Bar,5.0,2
Barasti,Amsterdam,Dutch,5.0,2
Corner Bakery Amsterdam West,Amsterdam,International,5.0,2
"Bodon, La Grande Brasserie",Amsterdam,French,5.0,4
Benji's,Amsterdam,International,5.0,2
Berry,Amsterdam,Cafe,4.5,1
Da Magda,Amsterdam,Italian,5.0,1
Anne Maike of Casa Curiosa,Amsterdam,Italian,5.0,2
Bar Joost,Amsterdam,Bar,5.0,1
I Kriti,Amsterdam,Mediterranean,4.5,2
Golden Chopsticks,Amsterdam,Chinese,3.5,2
De Kleine Kaart,Amsterdam,Dutch,5.0,2
BROODJESZAAK t KUYLTJE,Amsterdam,Dutch,5.0,1
Cafe Riviera,Amsterdam,Bar,5.0,2
Croissanterie Friends,Amsterdam,Cafe,5.0,1
De Witte Zwaan,Amsterdam,Dutch,5.0,2
Arepa Shop,Amsterdam,Vegetarian Friendly,5.0,1
Anna's SpecialTeas,Amsterdam,Cafe,5.0,1
Clone 42,Amsterdam,European,5.0,2
Cafe Sage,Amsterdam,Cafe,5.0,2
Alex + Pinard,Amsterdam,French,5.0,2
Cafe Dinard,Amsterdam,Seafood,5.0,2
Cheesy Cakes,Amsterdam,Cafe,5.0,2
Bahya Food to Share,Amsterdam,Moroccan,5.0,2
Bistro Bentinck,Amsterdam,French,5.0,2
De Chef's Table Anice Culinair,Amsterdam,European,5.0,4
Broodje Daan,Amsterdam,Dutch,5.0,1
Bar Evert-Jan,Amsterdam,Italian,5.0,2
Amona Food Truck,Amsterdam,Middle Eastern,5.0,1
Bouillon Brothers,Amsterdam,International,5.0,1
Bar Benjamin,Amsterdam,French,5.0,2
Chef India Amsterdam,Amsterdam,Indian,5.0,2
Caulils Delicatessen,Amsterdam,Cafe,5.0,2
Baking Lab Amsterdam,Amsterdam,Middle Eastern,5.0,1
't Halve Werk,Amsterdam,Dutch,5.0,1
Cafe ONS,Amsterdam,Dutch,5.0,2
Namaste India,Amsterdam,Indian,4.0,2
De Beren,Amsterdam,American,5.0,2
De Smaaksalon,Amsterdam,Italian,5.0,1
Cafe Primo,Amsterdam,Italian,5.0,2
Casa Food,Amsterdam,Mediterranean,5.0,1
Broodje van het land,Amsterdam,Dutch,5.0,2
Bakker Bertram,Amsterdam,Dutch,5.0,1
Cannibale Royale du Nord,Amsterdam,American,5.0,2
De Vrouw met de Baard,Amsterdam,European,5.0,2
Cafe 't Ceintuurtje,Amsterdam,Italian,5.0,2
Cinque Wine & Deli Bar,Athens,Wine Bar,5.0,1
Dinner in the Sky,Athens,Mediterranean,5.0,4
Aleria,Athens,Greek,5.0,4
Feyrouz,Athens,Lebanese,5.0,1
Funky Gourmet,Athens,Mediterranean,5.0,4
A Little Taste of Home,Athens,Turkish,5.0,2
CTC,Athens,Mediterranean,5.0,4
Hi-Fai Grill House,Athens,Steakhouse,5.0,1
Bread and Roses,Athens,Greek,5.0,1
Duck Soup,Athens,Cafe,5.0,1
Enjoy Just Falafel,Athens,Fast Food,5.0,1
En Athinais Alexandra,Athens,Fast Food,5.0,1
Brigante La Cucina del Quartiere,Athens,Italian,5.0,1
Happy Blender,Athens,Healthy,5.0,1
Divino Wine Case,Athens,Wine Bar,5.0,2
Guarantee,Athens,Fast Food,5.0,1
Bandiera,Athens,Greek,5.0,1
Cafe-Bar 67,Athens,Brew Pub,5.0,1
Epireia,Athens,Italian,5.0,2
Barreldier,Athens,Mediterranean,5.0,2
Asia - Mikra Asia pagrati,Athens,Turkish,5.0,1
Acropol Vintage Cafe,Athens,Greek,5.0,2
G Cafe Bar,Athens,Diner,5.0,2
BAR 56,Athens,Bar,5.0,2
Acropaul's,Athens,Greek,5.0,2
Holy Moly Coffee & Burger,Athens,American,5.0,1
Frankie,Athens,Italian,5.0,2
Giorgos-Manos,Athens,Greek,5.0,1
Artopoleion,Athens,Fast Food,5.0,1
I Kriti,Athens,Fast Food,5.0,1
F Cafe,Athens,Italian,5.0,1
Gh,Athens,Greek,5.0,1
Flaneur,Athens,Bar,5.0,1
18 The Joint,Athens,Italian,5.0,2
1935 Mezedopoleio,Athens,Greek,5.0,2
Grill & Pita,Athens,Greek,5.0,1
Barreldier,Athens,Cafe,5.0,1
Antonis Cafe,Athens,Cafe,5.0,1
Cats,Athens,Greek,5.0,2
Fago-Potion,Athens,Mediterranean,5.0,2
Asymmetpo,Athens,Brew Pub,5.0,2
Handmade,Athens,Cafe,5.0,2
Dennis Donuts,Athens,American,5.0,1
Fish Bar,Athens,Seafood,5.0,4
En Tram Tsipouradiko,Athens,Greek,5.0,2
Homesick cafe-bar,Athens,Bar,5.0,1
Gasoline Bar,Athens,Cafe,5.0,1
Fresh Sushi Bar,Athens,Japanese,5.0,2
Ambrosia - The Refreshment Bar,Athens,Healthy,5.0,1
Chartreuse Cafeteria-Bar,Athens,Cafe,5.0,1
Butchers Fine Foods Stratos,Athens,Greek,5.0,2
Blavis,Barcelona,Mediterranean,5.0,2
Argentinisimo,Barcelona,Steakhouse,5.0,1
Apribocca - Italian restaurant,Barcelona,Italian,5.0,2
Atelier Pan&Cook,Barcelona,European,5.0,2
Ascanio of Sense Coberts,Barcelona,Mediterranean,5.0,2
AmoVino,Barcelona,Mediterranean,5.0,2
Bar Santa Fe,Barcelona,Brazilian,5.0,1
Admir,Barcelona,Lebanese,5.0,2
Bar Can Sergi,Barcelona,Spanish,5.0,2
Bar Can Santi,Barcelona,Italian,5.0,2
Almalibre Acai Bar,Barcelona,Bar,5.0,1
Alive Restaurant,Barcelona,Mediterranean,5.0,2
Apat,Barcelona,Mediterranean,5.0,2
Bar Sauvage,Barcelona,Bar,5.0,2
Acero,Barcelona,Street Food,5.0,2
Bar Viu,Barcelona,Brew Pub,5.0,2
A2 Restaurant,Barcelona,American,5.0,2
A CASA MIA da Gigi e Danilo,Barcelona,Italian,5.0,2
Balabar,Barcelona,Mediterranean,5.0,1
Bar Pietro,Barcelona,Moroccan,5.0,2
Angels & Carmen of Foodie Sisters,Barcelona,Spanish,5.0,2
Barbiturik BCN,Barcelona,Italian,5.0,1
Apetito,Barcelona,Lebanese,5.0,2
Asian Restaurant,Barcelona,Indian,4.0,1
Ale ale cafe,Barcelona,Cafe,5.0,1
Bar-celona cafe,Barcelona,Mediterranean,5.0,1
Bar Okinawa,Barcelona,Bar,5.0,2
Alain Pizza,Barcelona,Italian,5.0,1
52 Cafe,Barcelona,Mediterranean,5.0,1
